Air Supply	Making Love Out Of Nothing At All
DJ晓苏	在DJ兆赫与晓苏浅谈轻唱
F.I.R.	我们的爱
F.I.R.	月牙湾
MY LITTLE AIRPORT	浪漫九龙塘
S.H.E	说你爱我
Tank	专属天使
at17	三分钟后
五月天	天使
五月天	温柔
五月天	知足
五月天	突然好想你
何韵诗	木紋
侧田	Kong
倉木麻衣 | 孙燕姿	Tonight, I Feel Close To You
光良	第一次
刘若英	后来
刘若英 | 黄立行	分开旅行
刘若英 | 黄韵玲	听 是谁在唱歌
南拳妈妈	橘子汽水
南拳妈妈	香草吧噗
卢广仲 | 梁静茹	不是我不明白
后弦	海口
周华健	难念的经
孙燕姿	180度
孙燕姿	任性
孙燕姿	害怕
孙燕姿	我不难过
孙燕姿	我也很想他
孙燕姿	我怀念的
孙燕姿	我的爱
孙燕姿	遇见
孙燕姿 | 张惠妹	她们的歌 (遇见|记得|我也很想他|人质|天黑黑|真实|我要的幸福|我要快乐)
张信哲	直觉
张国荣	I Honestly Love You
张国荣	当爱己成往事
张国荣	怪你过份美丽
张学友	她来听我的演唱会
张学友	好久不见
张学友 | 梅艳芳	相爱很难
张悬	亲爱的
张悬	儿歌
张悬	喜欢
张悬	宝贝(in A Day)
张悬	宝贝(in The Night)
张悬	毕竟
张惠妹	平常心
张惠妹	排山倒海
张杰	明天过后
张震岳	OK2010 (爱情白卷)
张震岳	小宇
张震岳	很难
张震岳	思念是一种病
张震岳	爱我别走
张震岳	路口
张靓颖	G大调的悲伤
张靓颖	如果这就是爱情
张韶涵	保护色
张韶涵 | 范玮琪	如果的事
彭坦	树叶
徐志勇	无赖 (原唱:主唱:郑中基
戴佩妮	一念之间
戴佩妮	单身潜逃
戴佩妮	怎样
方大同	Bad
方大同	Love Song
方大同	每个人都会(song For Cartier Love Project)
无印良品	掌心
曹方	住在春天
曹方	比天空还远
曹方	落单·续
曹方	遇见我
曹方	风吹过下雨天
曹格	背叛
李克勤 | 陈慧琳	爱一个人
李宇春	漂浮地铁
李宗盛	爱的代价
杨丞琳	左边
杨千嬅	姊妹
杨千嬅	野孩子
杨千嬅	飞女正传
杨宗纬	人质
杨宗纬	背叛
林一峰	I Don't Want To Say Goodbye
林一峰	When He Sings (new Song By Chet Lam)
林一峰	厨房
林二汶	星星月亮太阳
林俊杰	曹操
林俊杰 | 金莎	发现爱
林宥嘉	我爱的人
林宥嘉	神秘嘉宾
林宥嘉	说谎
林忆莲	我坐在这里
林忆莲	至少还有你
梁咏琪	心魔 (粤)
梁咏琪	某人
梁咏琪	花火
梁静茹	为你我受冷风吹
梁静茹	会呼吸的痛
梁静茹	儿歌
梁静茹	可惜不是你
梁静茹	属于
梁静茹	接受
梁静茹	无条件为你
梁静茹	比较爱
梁静茹	纯真
梁静茹	问
江美琪	对你有感觉
汤旭	忆江南
汪峰	春天里
温岚	同手同脚
潘玮柏	我想更懂你
潘玮柏 | 潘玮柏	双人舞
王力宏	我们的歌
王心凌	那年夏天 宁静的海
王若琳	How I Feel About Businessmen
王若琳	Vincent
王若琳	有你的快乐
王若琳	迷宮
王菀之	你是我最爱的人
王菲	人间
王菲	只爱陌生人
王菲	当时的月亮
王菲	暖昧
王菲	笑忘书
王菲	给自己的情书-粤语
罗志祥	精舞门
老狼	想把我唱给你听
自然卷	磨菇之歌
苏打绿	小情歌
苏打绿	迟到千年
范晓萱	You Don't Trust Me At All
范晓萱	你
范晓萱	氧气(缺氧版)
范晓萱&100% 乐团	那种女孩
范玮琪	一个像夏天一个像秋天
范玮琪	一颗心的距离
范玮琪	我们的纪念日
范玮琪	最重要的决定
莫文蔚	外面的世界
莫文蔚	如果没有你
莫文蔚	寂寞的恋人
莫文蔚	忽然之间
莫文蔚	溜溜的情歌
萧亚轩	他和她的故事
萧亚轩 | 萧亚轩	类似爱情
萧敬腾	Say A Lil Something
萧敬腾	王妃
萨顶顶	万物生
蔡依林	倒带
蔡依林	布拉格广场
蔡健雅	如果你爱我
蔡健雅	红色高跟鞋
蔡健雅	陌生人
蔡淳佳	Yesterday
蔡淳佳	倒爱
蔡淳佳	对不起我爱你
蔡淳佳	有一天我会
薛凯琪 | 方大同	复刻回忆
许巍	时光
许巍	曾经的你
许巍	蓝莲花
许巍	那一年
许美静	城里的月光
许美静	遗憾
许美静	都是夜归人
许茹芸	好听（demo Version 原创版）
许飞	淡淡的歌
谢安琪	囍帖街
谢安琪	祝英台
谢安琪	钟无艳
跳房子	A Wishful Way
邓丽欣	十分．爱 - 方力申|邓丽欣
郭静	在树上唱歌
郭静	心墙
阿信;孙燕姿	王子面
阿桑	一直很安静
陈奕迅	K歌之王
陈奕迅	不要说话
陈奕迅	全世界失眠
陈奕迅	好久不见
陈奕迅	淘汰
陈奕迅	红玫瑰
陈奕迅	苦瓜
陈奕迅 | 陈奕迅	Life Goes On
陈奕迅 | 陈奕迅	七百年後
陈奕迅 | 陈奕迅	不来也不去
陈奕迅 | 陈奕迅	於心有愧
陈奕迅 | 陈奕迅	沙龙
陈小春	我爱的人
陈绮贞	华丽的冒险
陈绮贞	失败者的飞翔
陈绮贞	旅行的意义
陈绮贞	还是会寂寞
陈绮贞	鱼
陶喆	寂寞的季节
陶喆	普通朋友
陶喆	爱,很简单
雷光夏	黑暗之光 (version 2)
飞轮海	只对你有感觉
黃耀明|獨白:張國榮	这么远 那么近
黄小琥	没那么简单
黄玠	香格里拉
黄磊	你知道我爱你[朗诵版]
黄馨	蝴蝶吻
齐豫	橄榄树
